,area,mean,min,max,max-min
77,0.001,415.941,375,523,148
78,9.86E-04,426.125,388,524,136
79,8.22E-04,446.413,407,529,122
80,8.84E-04,439.244,385,557,172
81,8.63E-04,426.929,384,519,135
82,0.002,417.55,388,542,154
83,0.002,417.537,383,518,135
84,0.002,417.009,386,510,124
85,0.002,430.791,389,553,164
86,0.002,422.688,390,529,139
87,0.002,409.311,379,518,139
88,0.001,424.938,386,548,162
89,0.002,423.478,391,529,138
90,0.002,432.717,393,566,173
91,0.002,414.994,382,486,104
92,0.002,420.206,391,513,122
93,0.002,422.96,388,535,147
94,0.002,418.715,391,505,114
95,0.002,418.25,392,514,122
96,0.002,419.102,391,494,103
97,0.002,421.139,387,488,101
98,0.001,409.948,379,470,91
99,0.001,415.287,389,469,80
100,0.002,416.566,383,486,103
101,0.001,415.029,379,470,91
102,0.002,415.016,387,478,91
103,0.002,420.277,387,480,93
104,0.002,430.81,406,497,91
105,0.003,425.843,403,473,70
106,0.002,430.617,395,473,78
107,0.002,427.639,399,484,85
108,0.001,428,404,463,59
109,0.002,419.72,391,454,63
110,0.003,421.02,394,463,69
111,0.002,422.918,389,459,70
112,0.002,416.19,393,445,52
113,0.003,411.97,388,458,70
114,0.002,424.315,404,472,68
115,0.001,405.811,381,431,50
116,0.002,407.889,382,440,58
117,0.002,422.333,399,458,59
118,0.001,426.548,399,465,66
119,0.002,404.193,382,454,72
120,0.003,413.688,385,450,65
121,0.002,416.739,393,450,57
122,0.002,397.026,373,425,52
123,0.002,396.667,365,427,62
124,0.002,426.725,394,471,77
125,0.003,415.96,389,472,83
126,0.003,413.829,392,462,70
127,0.003,420.87,398,479,81
128,0.003,420.622,395,477,82
129,0.003,420.907,395,483,88
130,0.003,398.524,372,454,82
131,0.002,423.453,394,481,87
132,0.002,434.488,399,515,116
133,0.002,441.889,396,525,129
134,0.002,414.306,381,522,141
135,0.001,429.083,388,507,119
136,0.002,431.823,395,535,140
137,0.003,423.49,388,579,191
138,0.002,435.986,400,552,152
139,0.002,434.411,398,519,121
140,0.002,415.709,384,517,133
141,0.002,420.754,388,531,143
142,0.003,430.949,397,532,135
143,0.002,440.774,395,550,155
144,0.002,427.099,381,546,165
145,0.003,412.177,373,500,127
146,0.003,413.823,378,553,175
147,0.003,425.301,392,529,137
148,0.002,408.417,377,511,134
149,0.002,407.189,379,496,117
150,0.002,407.557,380,500,120
151,0.002,409.947,372,507,135
152,0.002,410.443,374,509,135
153,0.002,436.141,399,521,122
154,0.002,436.981,405,522,117
155,0.002,432.109,400,502,102
156,0.002,435.168,395,505,110
157,0.002,434.413,393,525,132
158,0.002,427.726,393,491,98
159,0.002,429.466,393,513,120
160,0.004,405.678,383,466,83
161,0.003,401.012,375,446,71
162,0.004,423.663,395,492,97
